,Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight
0,M,0.47130456527088826,0.2903734623442067,0.10676748684831118,0.30336667471108186,0.12326860152907873,0.06042597538903059,0.09533155276790403
1,F,0.7315452830835516,0.47846340785257513,0.17038428057709237,1.2381970068470096,0.5031232042770796,0.24662979852274336,0.3890975942156925
2,I,0.6154357651315532,0.23576224820780603,0.06589012189516354,0.1984940932570874,0.08065516527445356,0.03953697025371575,0.06237583657953465
3,F,0.4513972297281847,0.1448319475421061,0.16165957724267657,0.2194294831732628,0.08916195409656358,0.04370697790877333,0.06895468453773992
4,F,0.6890662649452061,0.3985013678826994,0.17577422059986625,1.002112010321614,0.4071935264659002,0.19960529853984588,0.31490899282957907
5,F,0.529373829865495,0.3660591173762148,0.17681301252195356,0.7113743487136215,0.28905653929556036,0.14169482830866365,0.22354604811722473
6,I,0.6215403629206759,0.2521596075774567,0.08796992184023185,0.2862525370334868,0.11631452254231323,0.05701710240357256,0.08995351537918082
7,F,0.5015412878828517,0.44966724304818984,0.2175374221175823,1.0185965515748687,0.4138917781742409,0.20288876560166896,0.32008918249884977
8,F,0.4041629472565216,0.4047126285615337,0.12775633391489616,0.43386635608924645,0.17629523419661566,0.08641950464778424,0.1363404647498987
9,I,0.478290447168033,0.48758643424215814,0.19203130704632576,0.9297916468813027,0.3778072068516838,0.1852001945331784,0.2921826582706824
10,F,0.596715370353686,0.37162949404016404,0.18643452648680642,0.8583689989715205,0.3487856607846101,0.1709739016520433,0.269738426601138
11,F,0.6511451430841803,0.3304436034922962,0.1889541801203084,0.8441156270047914,0.34299401201143553,0.16813484919352087,0.26525937140148276
12,F,0.4763666941788152,0.5064034439058119,0.17490258149049,0.876000877181919,0.3559501160478548,0.17448590058804575,0.2752791615207289
13,F,0.666288867806384,0.28149104948745696,0.0875688697495226,0.3409943421766425,0.1385580526584695,0.06792082798081903,0.10715587055080651
14,I,0.5607185956221991,0.4357451943079254,0.18557567499025984,0.9413885151003369,0.3825194242659361,0.18751011230598774,0.29582691964388097
15,F,0.2752767945135491,0.34104892933017167,0.15583170491325174,0.3037472792445983,0.12342325460238311,0.060501785957864894,0.09545115595505431
16,M,0.5036251749310344,0.1849962306130681,0.0770597322824323,0.14906239268175037,0.060569318314074284,0.029690935829374505,0.046842156829466734
17,M,0.611869615983103,0.4903873729900999,0.17412800441070253,1.0847685135442606,0.44077978497383663,0.21606920260653908,0.34088341077144646
18,F,0.4276159139406189,0.30036011948636937,0.16205101208018033,0.4321337206352241,0.17559120317679305,0.08607439031575477,0.1357959921957858
19,M,0.5317214311632775,0.3187741388928251,0.16646243160096807,0.5858059277341198,0.2380336520087506,0.11668353027148463,0.18408676155587037
20,M,0.3004562007424268,0.30412905382495803,0.1011386629303701,0.19187861340267998,0.07796706200512367,0.03821926842226126,0.0602969531048548
21,M,0.4872848095918789,0.3014585560136058,0.20027292727081322,0.6108056064756714,0.24819190502082653,0.12166308174598114,0.1919427931895382
22,M,0.6274823462528372,0.5223649464692972,0.13927649259281005,0.9478151369891756,0.3851307878692316,0.1887901965356066,0.29784645538985133
23,M,0.6026045898267045,0.4174524230546152,0.12508183060160427,0.653286872666257,0.26545354484822425,0.1301246965485032,0.2052923315768779
24,F,0.2324616144062514,0.3847080461849645,0.17169316762978906,0.31879082513630574,0.1295359789676265,0.06349822890823771,0.10017851959958618
25,F,0.5075202720048108,0.6615977951308009,0.10589212986679516,0.7382125229650307,0.299961838009454,0.1470405798100329,0.23197981833038045
26,M,0.48163567009955494,0.66819072911872,0.13703966350554317,0.9156629756639916,0.37206622840017534,0.18238598054586413,0.2877427896958753
27,M,0.6256765676600506,0.39603153458204654,0.19328517782672328,0.9943710954316225,0.40404811916645433,0.19806342736010382,0.3124764466805669
28,M,0.650256875511635,0.5270458801830646,0.13076698093961436,0.9304686696905701,0.37808230514644925,0.1853350470632052,0.29239540950886045
29,M,0.3342506042631724,0.46347013812885873,0.16269498280782876,0.5232851377254198,0.21262924541661113,0.10423035056093666,0.1644398969242105
30,F,0.6325584348039525,0.46071160162305097,0.14035623181085938,0.8492426198195335,0.3450772903903966,0.16915606730173394,0.26687050481461966
31,M,0.5171211534469512,0.5018875629674368,0.19013860452123393,1.0245645396826497,0.416316782663244,0.20407749703654476,0.32196459473309397
32,F,0.5366667766362132,0.5404895565518396,0.15280306999065157,0.9202257430255616,0.3739202420366399,0.1832948136223999,0.28917661791023486
33,M,0.5899813258812125,0.478520719838651,0.1403433307503506,0.8226234276148198,0.3342609718213453,0.1638539336558093,0.2585055486811899
34,F,0.4957941032295404,0.4767232524731293,0.16981821172600747,0.8333400170637435,0.3386155008604634,0.1659885134375593,0.26187318658510605
35,M,0.5727062713634916,0.5194810814411168,0.127086884244249,0.7850054800809133,0.3189754702437077,0.15636101712489991,0.24668428534116013
36,F,0.6144897143004603,0.47502557769195103,0.109348937429143,0.662699222749907,0.26927811533876556,0.13199949190975782,0.20825011838561036
37,F,0.6926466880563693,0.6646733311993549,0.1603605598313239,1.5328083618793442,0.6228342099899169,0.30531184890110846,0.48167782889386485
38,M,0.38101529913774546,0.4648948555371674,0.15015061594061593,0.5521976503632928,0.2243774211282534,0.10998927836259782,0.17352551823319268
39,I,0.5403035279693472,0.5515628465978661,0.13407368155336633,0.8295577479765417,0.33707863125726767,0.16523514361209773,0.2606846262878605
40,F,0.5318702518704239,0.3610708500883096,0.1410854176660199,0.56253628196397,0.22857837253583152,0.1120485747545095,0.17677438465837447
41,F,0.4177716933898147,0.4475856031761543,0.15474749280258318,0.6007710850840422,0.24411452433905656,0.11966435943006179,0.18878949196929767
42,F,0.3893109585986001,0.40828466088814885,0.1578480892723385,0.5209179265559529,0.21166736385640975,0.10375883850707289,0.16369601193180078
43,M,0.45937297087387363,0.43463930037051957,0.18603303630679568,0.7711782755979373,0.31335698838080583,0.15360685067407556,0.24233915127178082
44,M,0.5248238330468167,0.42709360692571374,0.2020101904514348,0.9401132612296558,0.3820012435482184,0.1872561013501768,0.2954261771042428
45,I,0.6050405827179319,0.4050354100765307,0.1186829937529027,0.6038600139982307,0.24536966532590818,0.1202796265576228,0.18976017337344242
46,M,0.4208593562679662,0.30440396985181756,0.1588590118542171,0.42254156518123953,0.17169357140959812,0.0841637804903933,0.13278170239388074
47,F,0.5019808084661844,0.39664520024615163,0.16408009581019656,0.6782901327837777,0.2756132530999295,0.13510496137800607,0.2131494886411241
48,F,0.7268661112425436,0.5535331803424424,0.1390257099655336,1.1613509592104176,0.4718979392270499,0.2313232478356736,0.36494908465296755
49,I,0.46050651458541514,0.2619420137193954,0.11455967021020556,0.28690821028671565,0.11658094575792356,0.057147702430423185,0.09015955761964188
50,M,0.46364377613045693,0.3624854700056684,0.14236491413642205,0.49676191090693106,0.20185192097559454,0.09894733174386311,0.156105097462701
51,F,0.4119107490297051,0.3605490380977898,0.11827547434665288,0.364697214596679,0.14818936743034655,0.072642075582806,0.11460438688838254
52,M,0.5325219222658374,0.26118631031052786,0.15517838561537503,0.4481149283945758,0.18208493269773368,0.08925760108758149,0.14081801167850067
53,F,0.5118752286955768,0.4863375395098717,0.09464193403468751,0.48916547188007103,0.19876521932540916,0.09743423793381137,0.1537179521751477
54,F,0.6807431161353859,0.4961747033210616,0.2362586483477728,1.65682207912079,0.6732253662015691,0.3300134738672342,0.5206485571071934
55,I,0.47132081450602614,0.5544038928303101,0.14701266961269285,0.7975683950957753,0.32408022661315916,0.1588633565602565,0.25063212238291366
56,M,0.2218885492146791,0.254358542306828,0.14670891672971778,0.17191271921502185,0.06985421356145685,0.03424236940409318,0.05402276462610431
57,M,0.4160649639606429,0.5151991202546846,0.09487076207685982,0.4222201245899871,0.1715629587370094,0.08409975446883193,0.13268069119772377
58,I,0.5043701851270885,0.40955146765142486,0.1126950350307237,0.48331798595286474,0.1963891791311651,0.09626950867981014,0.1518804071852112
59,F,0.62175516809052,0.5125485766956398,0.19936371931304064,1.319079115367276,0.535988463506729,0.2627402704574512,0.4145144169557727
60,F,0.587646447696358,0.38110566500385173,0.1168460735071516,0.5433077799524474,0.22076515259426463,0.10821855291568111,0.17073191820781594
61,F,0.37163491453286035,0.5352804091015689,0.040307671134685905,0.16647761493880495,0.06764573860641428,0.03315978023194934,0.052314808633242886
62,M,0.6251119062148437,0.3669266706717724,0.13530513005816905,0.6443496479427278,0.26182203458339454,0.12834453885087693,0.20248385068113955
63,F,0.45232989775858484,0.3338431492039136,0.10164812876819923,0.3186892634155119,0.12949471085107062,0.06347799937562013,0.10014660430581082
64,M,0.30796306329221235,0.4482958094065315,0.11309459648155254,0.3241719599910067,0.13172252423931824,0.06457006820174246,0.10186951595520331
65,M,0.4370496709370985,0.41364350047056375,0.1427909051825085,0.5359543872783107,0.21777720926694208,0.1067538702006913,0.16842114909513997
66,I,0.43375642860061303,0.42610050165898566,0.18355270508578977,0.7043508460004277,0.28620264191834965,0.14029585459971416,0.22133894537544857
67,F,0.5497696341026955,0.3972530438312245,0.12428219110436103,0.5635431363008869,0.22898749303719657,0.11224912465156336,0.1770907839050643
68,F,0.7025470832040922,0.36440920390046216,0.14076910001296938,0.7482425267095221,0.304037383011529,0.14903840228013027,0.235131699901225
69,M,0.5633402143146948,0.24951099992511766,0.23056668160697047,0.6728639826396772,0.273408416525223,0.13402415573125245,0.21144434644222723
