Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
M,0.4713045652708882,0.2903734623442067,0.1067674868483111,0.3033666747110818,0.1232686015290787,0.0604259753890305,0.095331552767904,Adole
F,0.7315452830835516,0.4784634078525751,0.1703842805770923,1.2381970068470096,0.5031232042770796,0.2466297985227433,0.3890975942156925,Adult
I,0.6154357651315532,0.235762248207806,0.0658901218951635,0.1984940932570874,0.0806551652744535,0.0395369702537157,0.0623758365795346,Child
F,0.4513972297281847,0.1448319475421061,0.1616595772426765,0.2194294831732628,0.0891619540965635,0.0437069779087733,0.0689546845377399,Child
F,0.6890662649452061,0.3985013678826994,0.1757742205998662,1.002112010321614,0.4071935264659002,0.1996052985398458,0.314908992829579,Adult
F,0.529373829865495,0.3660591173762148,0.1768130125219535,0.7113743487136215,0.2890565392955603,0.1416948283086636,0.2235460481172247,Adult
I,0.6215403629206759,0.2521596075774567,0.0879699218402318,0.2862525370334868,0.1163145225423132,0.0570171024035725,0.0899535153791808,Child
F,0.5015412878828517,0.4496672430481898,0.2175374221175823,1.0185965515748687,0.4138917781742409,0.2028887656016689,0.3200891824988497,Adult
F,0.4041629472565216,0.4047126285615337,0.1277563339148961,0.4338663560892464,0.1762952341966156,0.0864195046477842,0.1363404647498987,Adult
I,0.478290447168033,0.4875864342421581,0.1920313070463257,0.9297916468813028,0.3778072068516838,0.1852001945331784,0.2921826582706824,Adult
F,0.596715370353686,0.371629494040164,0.1864345264868064,0.8583689989715205,0.3487856607846101,0.1709739016520433,0.269738426601138,Adult
F,0.6511451430841803,0.3304436034922962,0.1889541801203084,0.8441156270047914,0.3429940120114355,0.1681348491935208,0.2652593714014827,Adult
F,0.4763666941788152,0.5064034439058119,0.17490258149049,0.876000877181919,0.3559501160478548,0.1744859005880457,0.2752791615207289,Adult
F,0.666288867806384,0.2814910494874569,0.0875688697495226,0.3409943421766425,0.1385580526584695,0.067920827980819,0.1071558705508065,Child
I,0.5607185956221991,0.4357451943079254,0.1855756749902598,0.9413885151003368,0.3825194242659361,0.1875101123059877,0.2958269196438809,Adult
F,0.2752767945135491,0.3410489293301716,0.1558317049132517,0.3037472792445983,0.1234232546023831,0.0605017859578648,0.0954511559550543,Adult
M,0.5036251749310344,0.1849962306130681,0.0770597322824323,0.1490623926817503,0.0605693183140742,0.0296909358293745,0.0468421568294667,Child
M,0.611869615983103,0.4903873729900999,0.1741280044107025,1.0847685135442606,0.4407797849738366,0.216069202606539,0.3408834107714464,Adult
F,0.4276159139406189,0.3003601194863693,0.1620510120801803,0.4321337206352241,0.175591203176793,0.0860743903157547,0.1357959921957858,Adult
M,0.5317214311632775,0.3187741388928251,0.166462431600968,0.5858059277341198,0.2380336520087506,0.1166835302714846,0.1840867615558703,Adult
M,0.3004562007424268,0.304129053824958,0.1011386629303701,0.1918786134026799,0.0779670620051236,0.0382192684222612,0.0602969531048548,Adole
M,0.4872848095918789,0.3014585560136058,0.2002729272708132,0.6108056064756714,0.2481919050208265,0.1216630817459811,0.1919427931895382,Adult
